MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH
"ROUTE_INFO","2150916006573438","2015-09-17 11:23:04.698 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.23055 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:23:34.702 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.23852 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:24:04.704 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.24612 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:24:34.708 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.25434 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:25:04.714 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.26415 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:25:34.719 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.27305 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:26:04.723 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.28451 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:26:34.728 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.29702 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:27:04.732 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.30907 Liquidity:LIQUID QteSz:[50th=7,386]","355632","","","","","Limit Price: 5.19500  Lim Px Text: ClientLim: 5.195   Quote trigger: 0.0   DarkLim: ClientLim: 5.195 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6","","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:27:34.756 LON","","","","","","","","","","","","","","","","Max:355632 shares Urgency:Highest STL:5.32065 Liquidity:LIQUID QteSz:[50th=7,386]","","","","","","",""," IWouldDest(100.00%) 13,618 of 840053 . Average px: 5.1950","","","","","","","","","","","","","","","","","","","","","",""
